"","NCHALO","MULOZA","NTAJA","MONKEY.BAY","NKHOTAKOTA","RUMPHI","CHILUMBA","NTHALIRE","NSANJE","PHALOMBE","NENO","MANGOCHI","LIWONDE","SANTHE","MKANDA","NTCHISI","NSUNDWE","MITUNDU","MWANSAMBO","CHAMAMA","NKHOMA","MALOMO","KASUNGU","THETE","NGABU","BANGULA","CHIKWAWA","LIMBE","CHIRADZULU","LUNZU","MWANZA","BVUMBWE","LUCHENZA","MISUKU","KARONGA","CHITIPA","MTAKATAKA","NANJIRI","DWANGWA","LIZULU","SALIMA","NAMBUMA","BOWE","MADISI","MPONELA","DOWA","NKHAMENYA","JENDA","LILONGWE","MCHINJI","TSANGANO.TURN.OFF","MZUZU","MZIMBA","MPAMBA","NKHATABAY","CHINTHECHE","NTONDA","NTCHEU","BALAKA","JALI","MIGOWI","ZOMBA","NAMWERA","THONDWE","HEWE","CHATOLOMA","KASIYA","CHIMBIYA","BEMBEKE.TURN.OFF","SHARPEVALEY","MAYAKA","EMBANGWENI"
"200905",36.13,26.57,26,31.25,37.5,31.51,26.44,38.22,28.89,33.78,45.34,39.43,39.23,30.77,45.13,41.94,33.03,30.715,20,48.5,42.61,48.5,45.555,28.35,33.33,31.11,34.48,38.53,32.5,33.17,39.3,35,32.52,21.11,30.17,32.94,30.65,28.22,29.08,31.4,25.22,36.67,29.5,45,45,28.9,42.61,42.61,40,45.13,32.08,37.675,35.025,25.97,33.33,48.75,30,46.86,44.86,26.66,33.78,33.27,29.41,26.66,19.025,42.61,45,35.22,37.505,46.86,33.38,46
"200906",37.355,37.78,31,34.68,33.33,31.22,35.54,30.415,31.59,33.355,33.33,39.68,33.465,22,34.18,36.59,30.76,35.665,21.25,44,39.75,44,18.5,27,43.68,37.5,36.78,38.245,38,36.15,29.02,33.25,46.635,16.74,35.54,28.38,36.51,24.93,30.79,30.055,25,25,30,45,45,35.125,39.75,39.75,40.02,34.18,27.84,40.145,30.2,31.58,32.4,45.225,43.01,48.79,43.01,27,33.355,31.55,29.94,32.4,19.31,18.5,32.5,32.28,32.66,48.79,33.38,25.87
"200907",45.28,37.01,32.49,36.71,42.725,32.05,34.52,29.03,40.235,33.37,34.275,47.53,38.1,27.1,34.88,37.82,33.565,38.94,30,37.82,43.72,37.82,40.77,31.5,47.165,42.22,45.6,37.22,40,44.815,34.465,40,53.875,15.74,34.33,29.395,40.03,25.12,29.66,34.5,32.63,36.07,36.25,35,37.93,37.93,43.72,43.72,41.17,34.88,33.16,31.42,30.16,34.135,34.24,42.525,47.235,41.28,47.235,34.13,33.37,33.6,35,33.6,20.78,43.72,36.07,33.44,34.5,41.28,37,23.52
"200908",41.68,37.01,35.43,48.055,42.7,39.13,34.11,30.42,41.44,39.07,30,46.18,41.17,28.605,37.385,38.89,36.915,35.25,30,39.445,42.415,38.89,40,30,44.44,44.44,44.225,43.16,40.58,33.905,38.42,40,54.02,16.7,38.88,30.82,44.04,34.96,33.51,33.3,44.04,36.11,37.51,34.97,37.02,37.02,42.415,42.415,42.62,37.385,33.42,29.22,32.16,29.81,32.46,41.35,37.5,39.87,47.03,37.32,39.07,31.5,46.18,34.8,24.72,42.415,36.11,34.94,39.735,39.87,40,38.3
"200909",44.15,37.975,39.26,50.99,41.92,39.015,33.56,29.635,44.15,41.855,31.14,55.15,44.87,35,39.18,42.645,44.19,39.18,32.5,42.645,41.075,42.645,41.86,30,44.15,44.15,44.15,50.85,42.5,35.56,58.92,40,43.335,21.975,40.16,32.05,50.99,41.49,41.79,44.42,36.25,32.03,44.5,35,36.25,36.25,41.075,41.075,44.025,39.18,37.85,38.655,32.16,38.655,34.21,39.25,37.85,37.85,37.85,39.55,41.855,39.55,37.865,39.55,26.155,41.075,37.64,39.45,44.42,37.85,40,41.075
"200910",40.99,44.05,40.855,50.02,40.825,41.65,40.28,40.98,50,43.98,35,55.93,51.325,33.005,26.35,43.52,44.215,38.345,31.25,30,42.795,30,33.75,32,40.99,43.7,43.99,53.47,45,42.875,57.95,40,43.78,23.5,40.98,32.765,47.625,42.85,42.78,40.76,52.02,35.405,42,42,37.235,37.235,42.795,42.795,43.625,41.05,35.99,30.36,30.82,48.61,33.37,38.375,37.91,38.65,37.91,42.8,29.33,41,55.93,41,27.265,30,36.21,38.995,40.76,38.65,40,34.755
"200911",44.45,43.79,43.62,47.84,40.93,41.3,41.19,30.42,45.56,40.39,50.26,55.85,46.71,33.22,32.5,45.97,50,41.325,32.64,33.5,41.8,33.5,31.32,32,46.98,45.31,39.27,55.71,45,43.93,52.38,45.36,46.28,28.05,49.08,33.42,54.96,43.71,38.27,34.72,53.925,37.96,43.4,35,37.5,37.5,37.5,37.5,43.89,42.69,38.03,31.18,48.31,49.71,38.88,37.9,38.52,39.18,38.52,38.36,30,42.5,55.85,41,27.855,30,42.19,39.89,41.405,39.18,42,40.115
"200912",46.51,45.98,50.32,47.26,40,43.21,42.28,31.25,45.11,40.39,51.88,54.71,50.32,38.24,44.29,47.06,41.5,39.21,26.25,32.5,40.22,32.5,32.05,33,50.76,50.76,46.51,45,45,44.93,47.84,45,45,28.89,42.85,34.42,48.61,43.79,39.21,34.78,48.61,42.48,44.5,34.73,36.35,36.35,40.22,40.22,39.21,44.29,38.09,32.1,48.34,51.19,41.06,41.06,39.77,39.77,45.045,38.36,40.39,41,54.71,41,27.26,40.22,54.39,40.12,43.05,39.77,42,43.55
"201001",55.81,43.78,42.53,50.65,41.36,49.8,51.98,37.1,49.96,50.67,50.15,59.135,47.35,43.48,39.5,48.97,42.55,45.7,42.39,53.5,42.94,53.5,47.975,45,50.77,53.33,64.515,52.92,49.585,42.4,53.115,48.27,50.965,31.77,61.08,38.1,60.87,49.34,45.6,39.59,53.29,39.4,51.21,51.21,37.525,58.5,40,40,44.28,48.12,39.35,36.29,48.375,53.71,51.59,37.42,50.03,45.905,79.63,42.16,50.67,45.475,59.135,43.2,25.14,43.035,39.4,45.22,49.635,70.04,48,40.83
"201002",43.935,46.38,45.52,48.74,44,59.785,55.56,41.48,48.34,45.98,40.64,53.19,47.39,46.35,44.865,48.97,32.675,43.09,45.555,49.2,47.5,49.2,35,42.5,50.79,46.92,40,52.5,51.165,51.46,52.94,52.785,51.28,40,67.86,41.57,53.17,50.52,46.89,49.38,54.595,37.645,43.2,43.2,38.2,48.38,35,42.31,46.89,54.16,42.68,41.295,48.38,59.405,57.44,40.075,46.86,48.67,45.73,42.005,45.98,46.345,37.5,43.2,40,44.78,49.11,44.66,49.38,50,48,47.125
"201003",39.53,39.42,46.44,43.98,43.74,55.89,50.27,41.48,43.94,42.61,35.32,51.85,44.87,43.48,35,43.75,32.76,36.765,44.385,52.5,43.995,52.5,34.19,40,38.315,41.895,36.44,49.78,47.47,51.4,53.57,49.62,45.67,40.74,70.26,45.74,55.13,52.8,46.21,44.5,49.63,36,52.5,44.25,36,36,40,40,46.21,33.24,40.83,45.1,48.4,39.15,58.055,39.8,40.83,40.57,44.745,40.22,27,42.65,37.5,40,38.22,37.05,36,40,44.5,50,45,44.135
"201004",29.89,33.89,40.55,40.02,32.22,55.43,44.515,42.96,38.76,33.89,33.42,50.08,42.15,35.48,20,46.23,32.9,34.675,42.1,51.3,39.99,51.3,37.55,22.5,41.22,37.78,32.825,40,40,35.585,49.74,46.11,33.97,32.63,44.205,45.87,38.75,51.24,33.43,38.75,37.32,34.775,51.3,43.0375,34.775,34.775,35,35,33.43,25.775,37.4575,35,45.41,27.23,40.64,38.1,39.2,35.715,39.2,41.36,37.625,41.3,40,41.36,34.515,37.55,34.775,35.825,38.75,50,44,35.36
"201005",34.48,26.67,28.43,22.11,30.3,41.74,27.69,25.32,38,29.65,28.535,48.2,30.61,22.23,22,32.15,33.25,25.71,32.15,40.5,25.82,40.5,25.245,24,43.96,35.1,32.635,35,26.25,30.35,37,41.12,35.19,19.54,26.16,33.67,26.83,24.33,32.09,18.2,32.155,35,40.5,37.75,35,35,20,20,31.32,23.25,27.5,32.35,48.41,25.17,33.23,29.68,27.5,28.41,29.72,26.22,29.65,40.2,34.37,29.6,26.69,30,33.2,33.55,33.33,23,40,30.25
"201006",35.29,29.65,30.48,31.22,28,38.14,26.37,36.11,36.18,31.24,27.18,30.48,32.15,21.5,22.63,28,29.725,31.45,28,22.53,20,28,22.53,24.5,35.29,35.29,35.29,35.07,30,30.45,39.6,35.07,35.22,16.89,36.11,32.4,31.22,26.17,31.45,31.22,31.22,28,28,28,28,28,25,25,31.45,22.63,25.21,32.94,48.45,28.16,34.18,29.4,23.85,26.57,23.85,25.88,31.24,32.47,27.865,25.88,28.45,20,28,25.25,31.22,26.57,25.88,21.55
"201007",36.545,29.39,32.19,28.18,29.79,32.94,31.865,31.865,38.045,30.64,38.89,49.74,31.685,22.5,22.5,24.525,29.5125,22.74,24.525,24.525,27.445,24.525,25.985,32.94,36.545,38.045,35.045,35.045,30,30.725,38.89,35.045,35.045,16.18,24.0225,34.285,33.49,26.17,31.025,33.49,33.49,28,22.5,22.5,28,28,25,25,31.025,25.25,31.685,32.94,33.04,32.94,32.94,29.5,31.685,31.685,31.685,26.11,30.64,31.885,30,26,32.94,27.445,28,26.14,33.49,31.685,30.85,32.93
"201008",33.71,34.92,35.34,26.94,30,37.95,35.29,36.51,37.2,30.77,39.47,38.115,34.25,20.43,21.5,22.555,30,18.91,22.555,23.75,25.135,23.75,18,25.3,48.26,48.26,30.69,38.57,27,31.48,40.41,35.05,40.4,18.18,36.51,35.74,40.23,26.49,30.75,21.605,40.23,22.57,30,30,23.5,23.5,22.5,22.5,31.85,25.12,23,31.15,43.465,31.16,34.83,29.4,33.695,27.27,33.695,27.22,30.77,31.6,32.5,28.67,27.555,18,22.57,25.14,21.605,22,34.05,19.585
"201009",31.82,36.1,36.38,32.295,32,39.56,37.09,41.86,36.965,32.96,37.56,38.59,33.8,21.16,19.425,21.64,27.3,25.475,21.64,26.25,24.18,26.25,18,25,33.25,31.72,30.58,32.96,27.125,30.28,35.2,32.96,39.03,22.255,41.86,37.01,26,30.815,28.49,20.725,26,23.62,38,38,28.89,28.89,22.05,22.05,31.65,27.6,21,31.96,61.43,35.69,35.69,29.3,34.43,27.55,34.43,28.41,32.96,33.67,30,33.67,39.56,18,23.62,24.45,26,22,33.4,21.755
"201010",33.515,35.045,27.91,23.9,28.57,39.95,33.37,27.78,35.13,33.685,37.84,36.445,35.43,18.68,18.75,21.875,27.53,27.2,21.875,20.5,25.17,20.5,22.095,24.5,32,32.08,28.895,32.22,33.33,30.15,34.71,32.8,36.67,25.52,36.11,38.24,26.5,32.4,26.15,22.79,23.83,24.86,27.35,27.35,30.73,30.73,20,24.59,32.05,30.55,23,33.17,51.525,40.11,28.82,27.775,35.92,27.14,35.92,32.495,33.685,34.865,30.755,33.7,39.95,18,24.86,23.25,26.5,20,33.2,21.275
"201011",34.09,31.25,28.16,24.15,20.7025,39.995,32.14,37.48,34.91,34.8,37.495,40.6,36.69,20.33,20.33,21.405,27.57,22.845,21.405,20,20,20,20,24,34.09,32.025,27.595,30.95,31.33,30.16,37.2,33.86,36.36,28.035,37.48,37.765,26,30.305,22.845,23.13,23.81,25.68,28.2,28.2,30.77,30.77,20,20,31.865,23.005,24.125,33.04,45.79,40.47,40.47,27.7,27.54,25.95,36.02,34.22,30.61,33.7,40.6,33.7,39.995,20,25.68,23.675,26,25.95,32.5,45.79
"201012",35.96,33.96,33.46,35.8,22.245,37.57,34.56,38.45,34.635,33.96,39.74,44.1,27.34,20.48,20.48,21.99,25.86,22.61,21.99,22.5,22.5,22.5,22.5,26,35.22,34.635,30.89,34.36,32.2,32.2,39.74,34.36,35.64,28.33,36.485,38.45,27.5,29.775,22.61,25.1,27.5,25.92,22.5,26.615,30.73,29.78,22.5,22.5,22.61,20.48,23.75,33.05,35.12,33.05,21.41,19.21,27.34,27.34,27.34,33.96,33.96,30.65,44.1,33.96,37.57,22.5,20.48,25.14,27.5,27.34,33.08,35.12
"201101",29.55,34.18,36.24,49.53,31.74,37.44,34.39,39.22,33.98,28.36,34.33,36.24,41.66,35,22.75,24.59,27.21,38.42,32.5,21.25,42.5,21.25,22.5,30,29.55,33.98,35.625,28.32,30.15,30.15,38.46,28.32,28.32,26.77,39.22,40.02,25.11,30.385,23.21,28.36,23.55,28.505,38.5,35,34.955,28.99,18.56,18.56,43.26,22.75,37.51,33.96,32.16,32.205,31.48,27.75,37.51,27.995,32.87,35.42,28.36,35.42,37.505,35.42,25.78,22.5,28.505,38.77,39.76,27.995,32.52,18.56
"201102",34.04,35.155,35.26,40.2,27.105,40.925,32.26,44.06,36.51,34.96,39.335,40.2,27.58,84.04,24.655,27.77,25.04,29.61,27.77,30.2,27.05,30.2,30.2,27,33.33,180,30.06,34.43,37.43,37.43,35.6,110.825,110.825,27.795,44.06,41.38,104.105,30.17,27.31,104.105,27.5,172,30.2,31.83,33.46,29.84,27.05,33.495,27.31,27.66,26.39,39.39,120.755,33.875,34.17,219.4,33.21,25.28,33.21,32.16,34.96,33.7,40.2,33.7,40.925,28.625,172,29.22,104.105,30.15,155.75,28.32
"201103",30.505,31.0025,25.545,32.76,27.8725,39.7575,33.255,36.1875,33.2775,25.17,36.9075,34.825,22.93,52.16,17.9525,25.87,20.9,28.82,21.775,32.2875,24.55,27.85,32.2875,29.75,30.15,103.485,28.515,36.995,32.34,33.8325,34.1,72.9475,72.9475,26.9275,36.1875,43.22,64.7125,33.755,29.2575,68.9475,29.1275,98.6475,30.1,30.915,32.52,30.925,24.55,27.7725,29.2575,26.7575,28.37,39.05,80.775,24.2,30.75,126.86,33.7175,26.1525,33.7175,33.705,25.17,32,34.825,34.475,39.7575,28.41875,98.6475,27.265,64.6225,28.5875,94.175,24.025
"201104",26.97,26.85,15.83,25.32,28.64,38.59,34.25,28.315,30.045,15.38,34.48,29.45,18.28,20.28,11.25,23.97,16.76,28.03,15.78,34.375,22.05,25.5,34.375,32.5,26.97,26.97,26.97,39.56,27.25,30.235,32.6,35.07,35.07,26.06,28.315,45.06,25.32,37.34,31.205,33.79,30.755,25.295,30,30,31.58,32.01,22.05,22.05,31.205,25.855,30.35,38.71,40.795,14.525,27.33,34.32,34.225,27.025,34.225,35.25,15.38,30.3,29.45,35.25,38.59,28.2125,25.295,25.31,25.14,27.025,32.6,19.73
"201105",24.72,21.94,12.26,22.735,25,22.345,20.45,39.01,26.285,25.04,20.4,32.575,18.07,15.155,14.5,21.54,21.71,23.47,15.375,35,15.05,22,16,21,27.615,27.615,25.56,28.155,17.5,30.12,25,30.08,25.695,19.57,24.61,41.36,22.735,23.345,23.29,26.565,25.755,20.13,12.5,12.5,22.075,26.02,12.05,12.05,23.29,15.63,24.875,30.05,35.14,14.88,27.5,27.9,32.27,24.01,32.27,26.44,25.04,30.27,19.25,24,22.345,15.05,20.13,20.45,20.14,24.01,33.1,18.59
"201106",28.57,26.88,18.45,25.325,26.5,20.255,16.545,21.905,31.785,26.88,18.87,26.15,18.26,24.835,17.72,19.23,22.865,20.955,19.23,22.95,19.54,22.95,23,23.25,31.06,31.06,29.89,31.21,25,31.225,22.6,27.19,30.54,16.21,24.43,37.37,24.5,25.27,20.33,25.035,25.94,18.37,19,19,23,24.1,19.54,19.54,20.33,17.72,21.36,27.1,17.09,15.665,25.5,25.65,32.885,25.305,32.885,26.84,26.86,27.795,21.12,26.84,20.255,19.54,18.37,25.5,24.5,25.305,33.195,17.09
"201107",33.925,24.08,21.36,26.02,28.22,25.54,19.32,27.015,33.925,24.08,18.29,24.3,19.5,24.33,18.34,27.5,23.56,23.61,27.5,27.5,23.99,27.5,23,26.5,33.925,33.925,33.925,30,30,34.2,18.29,30,30,15.63,25,35.94,26.02,24.5,24.055,30.16,26.02,24.5,24.5,24.5,24.5,24.5,24.78,24.78,24.055,18.34,33.49,25.4,24.23,25.4,25.4,25.4,33.49,33.49,33.49,24.08,24.08,21.79,24.3,24.08,27.91,23.99,24.03,26.21,27.53,33.49,24.08,24.23
"201108",35.29,33.615,24.915,35.19,25,26.685,24.59,27.27,39.6,35.31,21.49,26.42,28.65,25.59,24.33,30.315,22.36,24,22.5,28.25,25.36,28.25,24,27.5,34.6,34.6,35.265,36.02,30,34.6,25,30.17,35,16.225,32.52,39.48,35.19,24,24,30.82,26.125,21.8,24,24,26.42,25.03,25.36,25.36,24,24.33,27.1,28.73,19.5,20.01,26,26.1,33.71,33.71,33.71,27.91,35.31,35,18.35,27.91,26.685,25.36,21.8,28.26,30.82,33.71,33.1,19.5
"201109",37.65,32.67,32.53,27.08,20,27.375,27.845,34.09,37.65,34.895,28.64,26.38,32.53,27.54,27.8,26.715,28.33,25,26.715,29,26.385,29,27.6925,106,37.65,37.65,38.315,32.04,32.04,32.04,27,32.04,32.04,17.21,34.09,64.265,27.78,26.15,29.41,31.735,28.65,29,29,29,29,25.5,26.385,26.385,29.41,27.8,27.8,28.15,26.385,28.15,28.15,28.15,34.985,34.985,34.985,33.17,34.895,33.17,26.38,33.17,27.375,26.385,28.33,30.12,27.78,34.985,33.17,26.385
"201110",43.53,41.965,28.97,39.22,36.25,37,33.6,25.69,51.06,40.38,30.66,29.405,34.93,31.96,28.275,32.5,33,27.15,25,30,27.865,32.5,30,34.625,48.89,48.89,44.42,43.32,35.29,40.5,34.2,30.79,40.86,20.14,34.74,35.235,39.22,26.665,31.18,36.17,33.57,33.01,32,32,32,27,25.02,26.19,46,35.025,33.235,30.105,26.19,30.105,26.925,29.15,36.645,38.98,36.645,28.385,40.38,35.04,26.09,28.385,37,30,33.01,34.615,27.78,38.98,33.5,26.19
"201111",51.13,46.09,34.56,41.98,41.375,38.925,37.06,27.43,47.94,43.5,31.275,30.98,38.78,37.7,31.25,31.69,38.72,31.25,25,29.525,30.825,33.75,30,37,49.77,49.77,51.13,45,52,44.9,33.6,31.33,43.755,23.595,40.525,34.18,41.98,35.25,29.23,37.17,38.03,33.135,34,34,37.5,30,27.02,27.02,44,38.53,40.24,47.495,26.85,27.11,29.3,32.605,38.25,39.225,38.25,32.04,43.5,39.2,31.815,41.2,38.925,30.825,33.135,37.76,37.17,39.225,34.905,26.46
